Brewer,Drinker,Drink,Drink price,date,Total
Gareth Watson;1968-09-14;060453409181,Sylvia Jones-Brown;1999-08-25;584761487035,Herbal tea extra milk,280,2019-7-24,1180
Gareth Watson;1968-09-14;060453409181,Lawrence Fisher;1983-09-19;3566273828670227,Instant Coffee with sugar,250,2019-7-24,1430
Gareth Watson;1968-09-14;060453409181,Mrs. Jade Allen;1970-05-20;3577687933334659,Tea extra milk,280,2019-7-24,1710
Gareth Watson;1968-09-14;060453409181,Jack Harvey;1998-05-22;4946896571299186780,Herbal tea extra milk,280,2019-7-24,1990
Gareth Watson;1968-09-14;060453409181,Sylvia Jones-Brown;1999-08-25;584761487035,Herbal tea extra milk,280,2019-7-24,2270
Gareth Watson;1968-09-14;060453409181,Richard Parsons;1951-04-21;4596293855263047603,Instant Coffee with sugar,250,2019-7-24,2520
Gareth Watson;1968-09-14;060453409181,Rachael Lewis;1984-07-20;377222245845446,Instant Coffee with sugar,250,2019-7-24,2770
Gareth Watson;1968-09-14;060453409181,Richard Parsons;1951-04-21;4596293855263047603,Instant Coffee with sugar,250,2019-7-24,3020
Gareth Watson;1968-09-14;060453409181,Mohammad Jones-Wood;1963-05-21;3539333926037846,Capuccino extra milk,280,2019-7-24,3300
Gareth Watson;1968-09-14;060453409181,Tony Martin-Lucas;1984-02-09;060494691672,Espresso,150,2019-7-24,3450
Gareth Watson;1968-09-14;060453409181,Miss Jenna Hopkins;1970-09-16;371201862580821,Earl Grey with sugar,250,2019-7-24,3700
Gareth Watson;1968-09-14;060453409181,Jessica Pearson;1978-06-22;3527764291507761,Flat white,250,2019-7-24,3950
Gareth Watson;1968-09-14;060453409181,Jane Davies;1978-05-29;372961426026780,Double espresso extra milk,280,2019-7-24,4230
Gareth Watson;1968-09-14;060453409181,Cheryl Sutton;1968-11-24;6011950657786745,Herbal tea with sugar,250,2019-7-24,4480
Gareth Watson;1968-09-14;060453409181,Marian Lane;1980-04-23;373696105572428,Macciato,250,2019-7-24,4730
Gareth Watson;1968-09-14;060453409181,Ryan Chapman;1981-12-13;3537198259397469,Earl Grey,250,2019-7-24,4980
Gareth Watson;1968-09-14;060453409181,Ruth Russell-Harris;1973-03-29;4730875456940300910,Espresso extra milk,280,2019-7-24,5260
Gareth Watson;1968-09-14;060453409181,Mrs. Bethan Murray;1986-07-23;2238925746548385,Flat white,250,2019-7-24,5510
Gareth Watson;1968-09-14;060453409181,Ms. Elizabeth French;1974-12-19;630456409964,Flat white,250,2019-7-24,5760
Gareth Watson;1968-09-14;060453409181,Ryan Chapman;1981-12-13;3537198259397469,Earl Grey,250,2019-7-24,6010
Gareth Watson;1968-09-14;060453409181,Gareth Watson;1968-09-14;060453409181,Espresso,150,2019-7-24,6160
Gareth Watson;1968-09-14;060453409181,Dr. Douglas King;1974-03-16;3581139211845125,Espresso extra milk,280,2019-7-24,6440
Gareth Watson;1968-09-14;060453409181,Marie Preston;1976-12-28;6011724323439199,Herbal tea extra milk,280,2019-7-24,6720
Gareth Watson;1968-09-14;060453409181,Terence Hall;1982-04-23;4440881107798798,Earl Grey extra milk,280,2019-7-24,7000
Gareth Watson;1968-09-14;060453409181,Gareth Watson;1968-09-14;060453409181,Espresso,150,2019-7-24,7150
Mrs. Bethan Murray;1986-07-23;2238925746548385,Terence Hall;1982-04-23;4440881107798798,Vodka Tonic small,300,2020-3-4,300
Mrs. Bethan Murray;1986-07-23;2238925746548385,Miss Lindsey Harrison;1948-08-25;30476153140377,Scotch small,300,2020-3-4,600
Mrs. Bethan Murray;1986-07-23;2238925746548385,Jessica Pearson;1978-06-22;3527764291507761,Gin & Tonic large,800,2020-3-4,1400
Mrs. Bethan Murray;1986-07-23;2238925746548385,Mrs. Jade Allen;1970-05-20;3577687933334659,Champagne large,800,2020-3-4,2200
Mrs. Bethan Murray;1986-07-23;2238925746548385,Jack Harvey;1998-05-22;4946896571299186780,Prosecco small,300,2020-3-4,2500
Mrs. Bethan Murray;1986-07-23;2238925746548385,Dr. Martyn Lawrence;1979-06-01;30351135561323,Ale small,300,2020-3-4,2800
Mrs. Bethan Murray;1986-07-23;2238925746548385,Philip Miah-Young;1963-11-27;3592857229453650,Champagne large,800,2020-3-4,3600
Mrs. Bethan Murray;1986-07-23;2238925746548385,Rachael Lewis;1984-07-20;377222245845446,Prosecco large,600,2020-3-4,4200
Mrs. Bethan Murray;1986-07-23;2238925746548385,Lawrence Jones;2005-06-10;3537902156094842,Gin & Tonic small,400,2020-3-4,4600
Mrs. Bethan Murray;1986-07-23;2238925746548385,Joan Foster;2000-07-23;30467564114333,Vodka Tonic large,600,2020-3-4,5200
Mrs. Bethan Murray;1986-07-23;2238925746548385,Mrs. Bethan Murray;1986-07-23;2238925746548385,Champagne large,800,2020-3-4,6000
Cheryl Sutton;1968-11-24;6011950657786745,Jemma Davison;1982-06-25;346012372292431,Champagne large,800,2020-1-25,800
Cheryl Sutton;1968-11-24;6011950657786745,Mr. Stanley Bell;1997-05-22;376466905927165,Lager large,600,2020-1-25,1400
Cheryl Sutton;1968-11-24;6011950657786745,Dr. Jessica Joyce;1959-11-08;343670554272167,Pale ale small,300,2020-1-25,1700
Cheryl Sutton;1968-11-24;6011950657786745,Danny Clark;1999-03-25;6011085906067876,Prosecco small,300,2020-1-25,2000
Cheryl Sutton;1968-11-24;6011950657786745,Dr. Gemma Cooper;1968-01-15;4338315934240869,Ale large,600,2020-1-25,2600
Cheryl Sutton;1968-11-24;6011950657786745,Mrs. Bethan Murray;1986-07-23;2238925746548385,Ale large,600,2020-1-25,3200
Cheryl Sutton;1968-11-24;6011950657786745,Jane Davies;1978-05-29;372961426026780,Gin & Tonic small,400,2020-1-25,3600
Cheryl Sutton;1968-11-24;6011950657786745,Danny Clark;1999-03-25;6011085906067876,House white small,300,2020-1-25,3900
Cheryl Sutton;1968-11-24;6011950657786745,Rachael Lewis;1984-07-20;377222245845446,Gin & Tonic small,400,2020-1-25,4300
Cheryl Sutton;1968-11-24;6011950657786745,Katy Lee;1981-07-04;4895703194202888004,Prosecco small,300,2020-1-25,4600
Cheryl Sutton;1968-11-24;6011950657786745,Sean Osborne-Little;1960-03-13;3554852454832013,Ale small,300,2020-1-25,4900
Cheryl Sutton;1968-11-24;6011950657786745,Lawrence Fisher;1983-09-19;3566273828670227,Shiraz small,300,2020-1-25,5200
Cheryl Sutton;1968-11-24;6011950657786745,Terence Hall;1982-04-23;4440881107798798,Lager large,600,2020-1-25,5800
Cheryl Sutton;1968-11-24;6011950657786745,Terence Hall;1982-04-23;4440881107798798,Lager large,600,2020-1-25,6400
Cheryl Sutton;1968-11-24;6011950657786745,Ryan Chapman;1981-12-13;3537198259397469,Prosecco large,600,2020-1-25,7000
Cheryl Sutton;1968-11-24;6011950657786745,Jessica Pearson;1978-06-22;3527764291507761,Gin & Tonic large,800,2020-1-25,7800
Cheryl Sutton;1968-11-24;6011950657786745,Jack Harvey;1998-05-22;4946896571299186780,Prosecco small,300,2020-1-25,8100
Cheryl Sutton;1968-11-24;6011950657786745,Ms. Elizabeth French;1974-12-19;630456409964,Prosecco small,300,2020-1-25,8400
Cheryl Sutton;1968-11-24;6011950657786745,Tony Martin-Lucas;1984-02-09;060494691672,House white small,300,2020-1-25,8700
Cheryl Sutton;1968-11-24;6011950657786745,Ryan Chapman;1981-12-13;3537198259397469,Prosecco large,600,2020-1-25,9300
Cheryl Sutton;1968-11-24;6011950657786745,Sylvia Jones-Brown;1999-08-25;584761487035,Pale ale small,300,2020-1-25,9600
Cheryl Sutton;1968-11-24;6011950657786745,Joshua Griffiths-Mitchell;1984-07-30;347389381395580,Champagne large,800,2020-1-25,10400
Cheryl Sutton;1968-11-24;6011950657786745,Michelle Waters;1984-01-14;6545699347248609,House red small,300,2020-1-25,10700
Cheryl Sutton;1968-11-24;6011950657786745,Marie Preston;1976-12-28;6011724323439199,Prosecco large,600,2020-1-25,11300
Cheryl Sutton;1968-11-24;6011950657786745,Cheryl Sutton;1968-11-24;6011950657786745,Pale ale small,300,2020-1-25,11600
Mrs. Bethan Murray;1986-07-23;2238925746548385,Rachael Lewis;1984-07-20;377222245845446,Prosecco large,600,2019-7-31,600
Mrs. Bethan Murray;1986-07-23;2238925746548385,Jemma Davison;1982-06-25;346012372292431,Champagne large,800,2019-7-31,1400
Mrs. Bethan Murray;1986-07-23;2238925746548385,Katy Lee;1981-07-04;4895703194202888004,Shiraz small,300,2019-7-31,1700
Mrs. Bethan Murray;1986-07-23;2238925746548385,Katy Lee;1981-07-04;4895703194202888004,Prosecco small,300,2019-7-31,2000
Mrs. Bethan Murray;1986-07-23;2238925746548385,Mr. Stanley Bell;1997-05-22;376466905927165,Lager large,600,2019-7-31,2600
Mrs. Bethan Murray;1986-07-23;2238925746548385,Terence Hall;1982-04-23;4440881107798798,Lager large,600,2019-7-31,3200
Mrs. Bethan Murray;1986-07-23;2238925746548385,Cheryl Sutton;1968-11-24;6011950657786745,Scotch large,600,2019-7-31,3800
Mrs. Bethan Murray;1986-07-23;2238925746548385,Richard Parsons;1951-04-21;4596293855263047603,Prosecco large,600,2019-7-31,4400
Mrs. Bethan Murray;1986-07-23;2238925746548385,Miss Lindsey Harrison;1948-08-25;30476153140377,Scotch small,300,2019-7-31,4700
Mrs. Bethan Murray;1986-07-23;2238925746548385,Rachael Lewis;1984-07-20;377222245845446,Prosecco large,600,2019-7-31,5300
Mrs. Bethan Murray;1986-07-23;2238925746548385,Miss Abbie Smith;1954-09-05;4128358166770,Gin & Tonic large,800,2019-7-31,6100
Mrs. Bethan Murray;1986-07-23;2238925746548385,Mr. Keith Hilton;1997-09-17;3585697723779617,Gin & Tonic large,800,2019-7-31,6900
Mrs. Bethan Murray;1986-07-23;2238925746548385,Miss Jenna Hopkins;1970-09-16;371201862580821,House red small,300,2019-7-31,7200
Mrs. Bethan Murray;1986-07-23;2238925746548385,Marie Preston;1976-12-28;6011724323439199,Prosecco large,600,2019-7-31,7800
Mrs. Bethan Murray;1986-07-23;2238925746548385,Miss Lindsey Harrison;1948-08-25;30476153140377,Scotch small,300,2019-7-31,8100
Mrs. Bethan Murray;1986-07-23;2238925746548385,Michelle Waters;1984-01-14;6545699347248609,House red small,300,2019-7-31,8400
Mrs. Bethan Murray;1986-07-23;2238925746548385,Sylvia Jones-Brown;1999-08-25;584761487035,Jack and Coke small,300,2019-7-31,8700
Mrs. Bethan Murray;1986-07-23;2238925746548385,Mohammad Jones-Wood;1963-05-21;3539333926037846,House white large,600,2019-7-31,9300
Mrs. Bethan Murray;1986-07-23;2238925746548385,Tony Martin-Lucas;1984-02-09;060494691672,House white small,300,2019-7-31,9600
Mrs. Bethan Murray;1986-07-23;2238925746548385,Mrs. Jade Allen;1970-05-20;3577687933334659,Champagne large,800,2019-7-31,10400
Mrs. Bethan Murray;1986-07-23;2238925746548385,Katy Lee;1981-07-04;4895703194202888004,Prosecco small,300,2019-7-31,10700
Mrs. Bethan Murray;1986-07-23;2238925746548385,Ms. Sara Thompson;1986-03-24;371802005619325,Shiraz small,300,2019-7-31,11000
Mrs. Bethan Murray;1986-07-23;2238925746548385,Jack Harvey;1998-05-22;4946896571299186780,Prosecco small,300,2019-7-31,11300
Mrs. Bethan Murray;1986-07-23;2238925746548385,Frances Watkins;1988-08-31;2222981270340614,Prosecco large,600,2019-7-31,11900
Mrs. Bethan Murray;1986-07-23;2238925746548385,Mrs. Bethan Murray;1986-07-23;2238925746548385,Ale large,600,2019-7-31,12500
Mrs. Bethan Murray;1986-07-23;2238925746548385,Dr. Jessica Joyce;1959-11-08;343670554272167,Pale ale small,300,2019-7-31,12800
Mrs. Bethan Murray;1986-07-23;2238925746548385,Mrs. Bethan Murray;1986-07-23;2238925746548385,Ale large,600,2019-7-31,13400
Cheryl Sutton;1968-11-24;6011950657786745,Ruth Russell-Harris;1973-03-29;4730875456940300910,Earl Grey with sugar,250,2019-6-27,250
Cheryl Sutton;1968-11-24;6011950657786745,Benjamin Morgan;1960-09-26;676301009368,Lemon tea,250,2019-6-27,500
Cheryl Sutton;1968-11-24;6011950657786745,Jack Harvey;1998-05-22;4946896571299186780,Herbal tea extra milk,280,2019-6-27,780
Cheryl Sutton;1968-11-24;6011950657786745,Lawrence Fisher;1983-09-19;3566273828670227,Instant Coffee with sugar,250,2019-6-27,1030
Cheryl Sutton;1968-11-24;6011950657786745,Bethan Gill;1958-06-05;060480577430,Tea extra milk,280,2019-6-27,1310
Cheryl Sutton;1968-11-24;6011950657786745,Ms. Sara Thompson;1986-03-24;371802005619325,Espresso,150,2019-6-27,1460
Cheryl Sutton;1968-11-24;6011950657786745,Ms. Elizabeth French;1974-12-19;630456409964,Capuccino with sugar,250,2019-6-27,1710
Cheryl Sutton;1968-11-24;6011950657786745,Ms. Elizabeth French;1974-12-19;630456409964,Capuccino with sugar,250,2019-6-27,1960
Cheryl Sutton;1968-11-24;6011950657786745,Joshua Griffiths-Mitchell;1984-07-30;347389381395580,Instant Coffee with sugar,250,2019-6-27,2210
Cheryl Sutton;1968-11-24;6011950657786745,Jane Davies;1978-05-29;372961426026780,Double espresso extra milk,280,2019-6-27,2490
Cheryl Sutton;1968-11-24;6011950657786745,Cheryl Sutton;1968-11-24;6011950657786745,Herbal tea with sugar,250,2019-6-27,2740
Jessica Pearson;1978-06-22;3527764291507761,Ms. Sara Thompson;1986-03-24;371802005619325,Capuccino with sugar,250,2019-9-21,250
Jessica Pearson;1978-06-22;3527764291507761,Cheryl Sutton;1968-11-24;6011950657786745,Herbal tea with sugar,250,2019-9-21,500
Jessica Pearson;1978-06-22;3527764291507761,Richard Parsons;1951-04-21;4596293855263047603,Instant Coffee with sugar,250,2019-9-21,750
Jessica Pearson;1978-06-22;3527764291507761,Dr. Gemma Cooper;1968-01-15;4338315934240869,Instant Coffee with sugar,250,2019-9-21,1000
Jessica Pearson;1978-06-22;3527764291507761,Joshua Griffiths-Mitchell;1984-07-30;347389381395580,Instant Coffee with sugar,250,2019-9-21,1250
Jessica Pearson;1978-06-22;3527764291507761,Dr. Gemma Cooper;1968-01-15;4338315934240869,Macciato extra milk,280,2019-9-21,1530
Jessica Pearson;1978-06-22;3527764291507761,Lawrence Fisher;1983-09-19;3566273828670227,Instant Coffee with sugar,250,2019-9-21,1780
Jessica Pearson;1978-06-22;3527764291507761,Bethan Gill;1958-06-05;060480577430,Macciato,250,2019-9-21,2030
Jessica Pearson;1978-06-22;3527764291507761,Cheryl Sutton;1968-11-24;6011950657786745,Herbal tea with sugar,250,2019-9-21,2280
Jessica Pearson;1978-06-22;3527764291507761,Philip Miah-Young;1963-11-27;3592857229453650,Espresso,150,2019-9-21,2430
Jessica Pearson;1978-06-22;3527764291507761,Philip Miah-Young;1963-11-27;3592857229453650,Espresso,150,2019-9-21,2580
Jessica Pearson;1978-06-22;3527764291507761,Ryan Chapman;1981-12-13;3537198259397469,Americano,250,2019-9-21,2830
Jessica Pearson;1978-06-22;3527764291507761,Miss Jenna Hopkins;1970-09-16;371201862580821,Earl Grey with sugar,250,2019-9-21,3080
Jessica Pearson;1978-06-22;3527764291507761,Sylvia Jones-Brown;1999-08-25;584761487035,Herbal tea extra milk,280,2019-9-21,3360
Jessica Pearson;1978-06-22;3527764291507761,Jessica Pearson;1978-06-22;3527764291507761,Flat white,250,2019-9-21,3610
Katy Lee;1981-07-04;4895703194202888004,Bethan Gill;1958-06-05;060480577430,Macciato,250,2019-6-25,250
Katy Lee;1981-07-04;4895703194202888004,Sean Osborne-Little;1960-03-13;3554852454832013,Macciato,250,2019-6-25,500
Katy Lee;1981-07-04;4895703194202888004,Mr. Keith Hilton;1997-09-17;3585697723779617,Flat white extra milk,280,2019-6-25,780
Katy Lee;1981-07-04;4895703194202888004,Terence Hall;1982-04-23;4440881107798798,Earl Grey extra milk,280,2019-6-25,1060
Katy Lee;1981-07-04;4895703194202888004,Jack Harvey;1998-05-22;4946896571299186780,Herbal tea extra milk,280,2019-6-25,1340
Katy Lee;1981-07-04;4895703194202888004,Terence Hall;1982-04-23;4440881107798798,Earl Grey extra milk,280,2019-6-25,1620
Katy Lee;1981-07-04;4895703194202888004,Miss Jenna Hopkins;1970-09-16;371201862580821,Earl Grey with sugar,250,2019-6-25,1870
Katy Lee;1981-07-04;4895703194202888004,Jemma Davison;1982-06-25;346012372292431,Herbal tea with sugar,250,2019-6-25,2120
Katy Lee;1981-07-04;4895703194202888004,Lawrence Jones;2005-06-10;3537902156094842,Espresso,150,2019-6-25,2270
Katy Lee;1981-07-04;4895703194202888004,Mrs. Jade Allen;1970-05-20;3577687933334659,Tea extra milk,280,2019-6-25,2550
Katy Lee;1981-07-04;4895703194202888004,Lawrence Jones;2005-06-10;3537902156094842,Earl Grey,250,2019-6-25,2800
Katy Lee;1981-07-04;4895703194202888004,Mr. Stanley Bell;1997-05-22;376466905927165,Earl Grey with sugar,250,2019-6-25,3050
Katy Lee;1981-07-04;4895703194202888004,Rachael Lewis;1984-07-20;377222245845446,Instant Coffee with sugar,250,2019-6-25,3300
Katy Lee;1981-07-04;4895703194202888004,Ms. Jean Johnson;1996-04-22;3599621831162106,Tea with sugar,250,2019-6-25,3550
Katy Lee;1981-07-04;4895703194202888004,Katy Lee;1981-07-04;4895703194202888004,Espresso extra milk,280,2019-6-25,3830
Lawrence Fisher;1983-09-19;3566273828670227,Joshua Griffiths-Mitchell;1984-07-30;347389381395580,Lager large,600,2019-7-21,600
Lawrence Fisher;1983-09-19;3566273828670227,Dr. Caroline Morris;1967-06-03;4982238351886255393,Chianti large,800,2019-7-21,1400
Lawrence Fisher;1983-09-19;3566273828670227,Joshua Griffiths-Mitchell;1984-07-30;347389381395580,Champagne large,800,2019-7-21,2200
Lawrence Fisher;1983-09-19;3566273828670227,Rachael Lewis;1984-07-20;377222245845446,Prosecco large,600,2019-7-21,2800
Lawrence Fisher;1983-09-19;3566273828670227,Jessica Pearson;1978-06-22;3527764291507761,Gin & Tonic large,800,2019-7-21,3600
Lawrence Fisher;1983-09-19;3566273828670227,Mr. Keith Hilton;1997-09-17;3585697723779617,Gin & Tonic large,800,2019-7-21,4400
Lawrence Fisher;1983-09-19;3566273828670227,Ms. Elizabeth French;1974-12-19;630456409964,Prosecco small,300,2019-7-21,4700
Lawrence Fisher;1983-09-19;3566273828670227,Ruth Russell-Harris;1973-03-29;4730875456940300910,Shiraz large,600,2019-7-21,5300
Lawrence Fisher;1983-09-19;3566273828670227,Dr. Douglas King;1974-03-16;3581139211845125,Ale large,600,2019-7-21,5900
Lawrence Fisher;1983-09-19;3566273828670227,Bethan Gill;1958-06-05;060480577430,Champagne large,800,2019-7-21,6700
Lawrence Fisher;1983-09-19;3566273828670227,Benjamin Morgan;1960-09-26;676301009368,Champagne large,800,2019-7-21,7500
Lawrence Fisher;1983-09-19;3566273828670227,Frances Watkins;1988-08-31;2222981270340614,Prosecco large,600,2019-7-21,8100
Lawrence Fisher;1983-09-19;3566273828670227,Neil Walters;1991-02-14;30153298849283,Chianti small,400,2019-7-21,8500
Lawrence Fisher;1983-09-19;3566273828670227,Dr. Jessica Joyce;1959-11-08;343670554272167,Pale ale small,300,2019-7-21,8800
Lawrence Fisher;1983-09-19;3566273828670227,Joan Foster;2000-07-23;30467564114333,Pale ale small,300,2019-7-21,9100
Lawrence Fisher;1983-09-19;3566273828670227,Mrs. Jade Allen;1970-05-20;3577687933334659,Champagne large,800,2019-7-21,9900
Lawrence Fisher;1983-09-19;3566273828670227,Miss Abbie Smith;1954-09-05;4128358166770,Gin & Tonic large,800,2019-7-21,10700
Lawrence Fisher;1983-09-19;3566273828670227,Dr. Jessica Joyce;1959-11-08;343670554272167,Whisky & Soda large,800,2019-7-21,11500
Lawrence Fisher;1983-09-19;3566273828670227,Dr. Caroline Morris;1967-06-03;4982238351886255393,Chianti large,800,2019-7-21,12300
Lawrence Fisher;1983-09-19;3566273828670227,Dr. Leanne Pearce;2000-06-19;4362495062180576102,Ale large,600,2019-7-21,12900
Lawrence Fisher;1983-09-19;3566273828670227,Sally Jackson;1975-08-26;6011083979903226,Lager small,300,2019-7-21,13200
Lawrence Fisher;1983-09-19;3566273828670227,Lawrence Fisher;1983-09-19;3566273828670227,Shiraz small,300,2019-7-21,13500
Shirley Rees;1994-07-25;6527997021478845,Anna Buckley-Patel;1967-09-25;6011330523439128,Blackcurrant cordial small,200,2019-11-16,200
Shirley Rees;1994-07-25;6527997021478845,Jane Davies;1978-05-29;372961426026780,Coke small,200,2019-11-16,400
Shirley Rees;1994-07-25;6527997021478845,Ryan Chapman;1981-12-13;3537198259397469,Cloudy lemonade small,200,2019-11-16,600
Shirley Rees;1994-07-25;6527997021478845,Miss Abbie Smith;1954-09-05;4128358166770,Coke small,200,2019-11-16,800
Shirley Rees;1994-07-25;6527997021478845,Philip Miah-Young;1963-11-27;3592857229453650,Blackcurrant cordial large,400,2019-11-16,1200
Shirley Rees;1994-07-25;6527997021478845,Jack Harvey;1998-05-22;4946896571299186780,Sprite small,200,2019-11-16,1400
Shirley Rees;1994-07-25;6527997021478845,Michelle Waters;1984-01-14;6545699347248609,Diet Coke small,200,2019-11-16,1600
Shirley Rees;1994-07-25;6527997021478845,Philip Miah-Young;1963-11-27;3592857229453650,Blackcurrant cordial large,400,2019-11-16,2000
Shirley Rees;1994-07-25;6527997021478845,Danny Clark;1999-03-25;6011085906067876,Diet Coke large,400,2019-11-16,2400
Shirley Rees;1994-07-25;6527997021478845,Dr. Caroline Morris;1967-06-03;4982238351886255393,Fanta large,400,2019-11-16,2800
Shirley Rees;1994-07-25;6527997021478845,Shirley Rees;1994-07-25;6527997021478845,Coke small,200,2019-11-16,3000
Dr. Douglas King;1974-03-16;3581139211845125,Marie Power;2002-01-30;5236653014789326,Americano,250,2020-3-28,250
Dr. Douglas King;1974-03-16;3581139211845125,Ryan Chapman;1981-12-13;3537198259397469,Earl Grey,250,2020-3-28,500
Dr. Douglas King;1974-03-16;3581139211845125,Richard Parsons;1951-04-21;4596293855263047603,Americano with sugar,250,2020-3-28,750
Dr. Douglas King;1974-03-16;3581139211845125,Mrs. Bethan Murray;1986-07-23;2238925746548385,Flat white,250,2020-3-28,1000
Dr. Douglas King;1974-03-16;3581139211845125,Shirley Rees;1994-07-25;6527997021478845,Americano,250,2020-3-28,1250
Dr. Douglas King;1974-03-16;3581139211845125,Jack Harvey;1998-05-22;4946896571299186780,Herbal tea extra milk,280,2020-3-28,1530
Dr. Douglas King;1974-03-16;3581139211845125,Joan Foster;2000-07-23;30467564114333,Instant Coffee extra milk,280,2020-3-28,1810
Dr. Douglas King;1974-03-16;3581139211845125,Miss Lindsey Harrison;1948-08-25;30476153140377,Earl Grey with sugar,250,2020-3-28,2060
Dr. Douglas King;1974-03-16;3581139211845125,Marian Lane;1980-04-23;373696105572428,Macciato,250,2020-3-28,2310
Dr. Douglas King;1974-03-16;3581139211845125,Danny Clark;1999-03-25;6011085906067876,Americano,250,2020-3-28,2560
Dr. Douglas King;1974-03-16;3581139211845125,Dr. Martyn Lawrence;1979-06-01;30351135561323,Capuccino,250,2020-3-28,2810
Dr. Douglas King;1974-03-16;3581139211845125,Iain Barker;1997-07-21;3534790658775791,Earl Grey,250,2020-3-28,3060
Dr. Douglas King;1974-03-16;3581139211845125,Michelle Waters;1984-01-14;6545699347248609,Instant Coffee with sugar,250,2020-3-28,3310
